x1 y1 x2 y2 cls conf
350.47 379.71 393.64 433.30 2 0.9590
470.00 265.50 512.54 320.38 2 0.9467
601.58 129.40 643.01 182.44 4 0.9461
434.69 129.14 477.45 182.58 4 0.9444
135.09 128.76 178.71 181.80 4 0.9422
599.56 379.07 643.91 433.77 2 0.9411
302.74 129.43 345.13 181.59 4 0.9391
101.13 45.59 143.72 99.09 4 0.9387
135.13 379.18 179.64 434.15 2 0.9369
267.31 265.58 310.03 319.55 2 0.9355
636.67 44.69 678.71 98.89 4 0.9311
498.00 221.57 560.11 257.85 8 0.9295
580.83 216.56 605.31 261.80 9 0.9285
219.22 221.60 281.56 257.64 8 0.9276
173.78 215.83 199.95 262.18 9 0.9265
460.37 40.26 486.18 52.06 1 0.7242
294.86 40.51 318.48 51.18 1 0.7155
