x1 y1 x2 y2 cls conf
1126.06 176.01 1200.34 249.19 14 0.9571
765.28 407.91 882.74 543.87 16 0.9472
463.36 376.10 577.58 506.96 16 0.9451
357.81 175.60 405.21 249.90 2 0.9245
1024.73 215.58 1074.24 240.98 9 0.9197
108.85 282.92 161.13 316.11 0 0.9153
1035.93 136.58 1061.15 186.62 8 0.9122
1025.02 288.32 1074.69 321.15 0 0.9117
374.59 282.42 424.72 315.88 0 0.9078
1137.40 287.63 1187.11 321.31 0 0.9044
789.20 188.98 816.75 237.18 9 0.8953
600.81 78.95 686.30 113.07 10 0.8953
685.47 549.83 737.49 577.02 9 0.8916
609.29 198.29 670.82 228.22 8 0.8906
233.33 103.45 308.19 150.99 4 0.8897
781.05 98.50 824.23 120.23 8 0.8852
97.59 166.65 170.97 240.62 12 0.8505
598.19 543.05 646.59 616.45 17 0.3822
