x1 y1 x2 y2 cls conf
1511.62 337.83 1551.92 394.59 2 0.9218
1423.46 169.79 1466.79 218.97 4 0.9192
1140.29 168.23 1182.79 220.68 4 0.9181
1422.75 467.49 1463.13 518.72 2 0.9152
468.13 508.83 512.15 566.21 7 0.9150
1138.26 472.00 1181.39 522.48 2 0.9139
172.53 508.83 214.36 565.55 7 0.9129
711.61 318.26 751.86 368.13 4 0.9095
1298.16 610.38 1346.12 638.54 0 0.9089
747.69 477.36 787.29 528.41 2 0.9087
1016.13 472.05 1057.98 521.90 2 0.9078
572.92 480.16 614.05 530.95 2 0.9041
1318.91 466.26 1361.35 517.76 2 0.9033
1141.53 70.77 1182.40 124.10 4 0.9019
571.79 214.85 613.16 269.61 4 0.9008
861.09 478.07 902.43 528.88 2 0.9008
82.38 166.97 122.72 222.42 4 0.9001
1629.80 464.62 1671.32 516.38 2 0.8985
1288.08 167.63 1329.47 221.99 4 0.8976
982.78 216.34 1021.49 268.72 4 0.8949
623.80 414.61 671.42 442.67 8 0.8909
261.12 280.18 288.78 328.49 8 0.8889
433.77 70.89 477.20 125.09 4 0.8889
820.16 211.40 861.66 271.19 4 0.8889
81.33 70.53 122.59 125.55 4 0.8872
72.34 392.38 99.50 440.26 8 0.8861
897.66 317.50 939.31 371.13 4 0.8852
1666.88 168.79 1707.17 221.75 4 0.8833
339.54 396.61 365.39 443.22 8 0.8818
1564.78 612.32 1614.08 640.03 0 0.8808
1288.69 72.09 1329.25 124.63 4 0.8798
261.53 395.70 288.18 443.77 8 0.8791
884.42 612.88 917.34 637.43 0 0.8782
457.43 412.45 484.85 461.64 8 0.8774
735.04 612.00 768.19 637.91 0 0.8734
173.39 166.90 214.55 220.91 4 0.8703
446.21 607.55 494.49 634.95 0 0.8677
1161.13 613.40 1194.55 637.97 0 0.8662
1729.18 163.66 1770.98 190.68 0 0.8655
1585.89 338.75 1626.95 392.88 2 0.8635
173.80 70.90 213.42 123.60 4 0.8549
1643.83 611.81 1694.84 640.06 0 0.8530
553.58 608.08 599.21 633.39 0 0.8495
435.63 167.52 476.67 220.52 4 0.8438
339.06 281.49 365.99 328.61 8 0.8407
151.21 607.19 198.86 634.38 0 0.8310
1435.23 609.54 1483.57 635.88 0 0.8297
1489.94 609.67 1537.17 636.83 0 0.8262
503.91 608.20 550.74 632.66 0 0.8242
336.37 610.89 370.83 635.60 0 0.8101
1665.72 71.69 1707.91 124.61 4 0.8049
1003.88 612.75 1036.15 638.87 0 0.7928
63.30 605.70 107.59 631.58 0 0.7809
1162.44 30.81 1195.71 46.56 1 0.6049
208.69 606.87 299.96 634.40 0 0.5557
809.29 30.28 842.85 48.74 1 0.5220
1311.07 30.94 1341.18 46.43 1 0.4793
1652.55 29.74 1693.16 48.03 1 0.4460
164.03 31.51 193.63 46.38 1 0.4027
1004.54 31.02 1038.19 47.24 1 0.3222
456.93 30.64 488.26 46.84 1 0.2677
