x1 y1 x2 y2 cls conf
871.56 330.92 931.22 404.08 2 0.9400
1220.64 195.38 1283.78 268.85 4 0.9400
1220.27 447.20 1281.40 520.05 2 0.9395
1486.52 195.64 1548.16 269.34 4 0.9376
403.11 196.21 464.83 268.92 4 0.9329
646.82 329.31 707.77 406.12 2 0.9310
1487.89 448.10 1548.16 520.83 2 0.9310
1040.68 448.30 1102.12 520.35 2 0.9306
95.53 79.46 158.08 151.99 4 0.9293
1037.48 196.14 1101.36 269.24 4 0.9291
1040.46 582.80 1101.53 654.24 2 0.9287
1221.36 79.86 1283.12 152.86 4 0.9285
350.42 447.00 411.66 520.33 2 0.9274
1690.53 195.34 1749.68 268.84 4 0.9274
733.55 448.63 794.25 520.69 2 0.9272
733.33 582.03 794.22 654.93 2 0.9263
1274.60 582.29 1335.92 654.81 2 0.9260
1688.48 446.77 1750.34 521.14 2 0.9254
1485.73 78.77 1546.99 152.43 4 0.9251
350.03 582.01 413.47 654.44 2 0.9251
1433.56 581.18 1494.56 655.29 2 0.9249
1689.74 79.34 1750.05 153.12 4 0.9236
148.76 447.51 211.82 519.84 2 0.9232
400.79 79.21 463.91 153.55 4 0.9218
1039.30 79.08 1101.34 152.48 4 0.9210
1689.59 581.15 1749.57 655.29 2 0.9165
148.64 582.60 210.70 654.08 2 0.9144
375.91 307.70 440.08 373.04 8 0.9127
121.21 308.53 184.31 369.25 8 0.9070
906.30 702.72 940.44 727.23 0 0.8668
1726.27 32.20 1779.23 50.69 1 0.3089
