x1 y1 x2 y2 cls conf
640.10 294.13 668.56 332.33 4 0.9483
640.51 472.85 669.96 511.20 2 0.9419
642.06 91.80 669.30 130.52 4 0.9395
203.08 321.39 231.63 360.65 2 0.9379
321.18 324.74 349.48 363.40 2 0.9365
506.91 472.46 536.88 511.82 2 0.9325
507.83 294.28 535.81 333.14 4 0.9243
72.56 321.61 101.40 360.32 2 0.9218
226.16 473.31 255.42 512.00 2 0.9192
508.90 92.45 535.51 131.45 4 0.9010
498.01 44.91 525.58 56.00 1 0.8176
85.61 44.57 113.33 56.51 1 0.8044
653.45 44.83 677.25 56.55 1 0.7961
491.82 549.01 528.89 560.33 0 0.7921
233.79 548.78 270.50 560.53 0 0.7887
645.66 549.29 684.80 560.67 0 0.7565
