x1 y1 x2 y2 cls conf
696.09 158.33 742.94 221.57 8 0.9401
441.28 509.49 502.47 592.23 2 0.9373
665.01 512.30 725.19 592.61 2 0.9318
424.09 158.56 471.47 217.74 8 0.9315
694.38 266.34 754.50 351.95 10 0.9300
356.71 425.14 407.08 477.86 11 0.9106
697.14 611.68 743.33 643.27 0 0.9056
353.90 545.74 406.67 598.69 11 0.8995
758.92 545.63 813.40 599.62 11 0.8982
426.76 609.56 468.25 638.18 0 0.8883
756.71 420.59 813.95 479.71 11 0.8871
353.81 608.98 403.35 640.49 0 0.8383
413.48 263.62 466.22 348.26 10 0.8209
761.89 608.85 813.91 644.05 0 0.7929
