x1 y1 x2 y2 cls conf
192.95 213.70 240.41 273.66 2 0.9650
271.37 363.93 320.27 423.91 2 0.9640
388.73 214.18 436.56 274.95 2 0.9565
107.09 361.97 155.12 423.62 2 0.9565
231.80 89.40 280.48 148.50 4 0.9561
106.84 87.80 155.22 148.44 4 0.9560
349.98 89.19 397.44 149.18 4 0.9556
521.25 120.49 568.80 180.29 4 0.9533
521.63 362.34 569.27 423.48 2 0.9483
589.42 257.89 641.35 284.99 9 0.9371
471.32 171.75 498.39 223.11 9 0.9286
594.73 339.79 637.17 363.51 0 0.9211
305.62 461.37 324.53 480.14 0 0.8694
381.66 51.32 405.55 64.14 1 0.3675
