x1 y1 x2 y2 cls conf
605.00 74.75 643.46 138.84 4 0.9432
605.39 325.97 643.06 389.07 4 0.9414
83.74 76.71 120.93 138.84 4 0.9400
337.37 76.16 375.97 139.45 4 0.9389
212.64 240.07 251.73 303.11 4 0.9371
420.04 386.84 459.21 451.18 2 0.9359
244.13 387.09 281.40 450.53 2 0.9295
449.38 240.25 488.15 302.33 4 0.9237
76.29 224.18 101.89 305.25 8 0.9212
523.11 309.67 570.56 333.02 9 0.9203
82.93 385.32 122.45 449.09 2 0.9174
327.77 39.83 355.88 60.95 1 0.8693
75.47 41.13 101.04 60.26 1 0.8431
626.53 40.72 652.59 58.53 1 0.7882
234.65 468.75 258.39 482.99 0 0.7686
626.29 468.61 650.84 481.83 0 0.7484
74.45 467.90 99.58 482.55 0 0.7471
441.78 469.25 464.14 484.32 0 0.6521
