x1 y1 x2 y2 cls conf
127.83 409.76 159.30 459.12 6 0.9318
434.35 408.71 467.21 460.47 6 0.9283
374.00 409.63 405.28 460.50 6 0.9264
214.66 408.34 247.26 459.92 6 0.9261
127.25 203.54 159.67 253.13 7 0.9258
149.32 306.84 182.04 358.36 6 0.9244
630.40 357.57 662.20 408.95 6 0.9220
768.26 405.67 799.99 457.93 7 0.9217
457.93 47.31 491.60 95.93 7 0.9213
697.84 157.34 729.32 209.72 6 0.9194
767.60 80.23 799.83 130.42 6 0.9192
539.41 407.36 571.30 459.51 6 0.9187
103.75 122.70 135.28 171.99 6 0.9143
631.43 187.92 661.81 237.78 6 0.9056
569.55 307.19 601.11 357.75 6 0.9041
239.58 123.12 271.42 172.29 6 0.9038
589.26 492.94 605.64 526.46 8 0.9017
200.10 47.57 233.52 96.85 7 0.9010
370.40 493.94 386.33 526.54 8 0.8995
649.93 495.11 665.68 527.19 8 0.8991
787.20 221.65 803.25 254.45 8 0.8977
234.94 493.65 250.51 525.91 8 0.8952
629.15 47.26 662.76 97.16 7 0.8920
455.12 140.69 470.53 173.59 8 0.8908
184.24 493.91 200.21 526.61 8 0.8861
122.92 492.91 138.50 524.98 8 0.8829
514.86 203.73 541.61 218.38 9 0.8825
351.01 47.93 383.69 98.45 7 0.8819
788.04 342.78 803.97 376.38 8 0.8816
601.64 250.00 632.46 266.63 8 0.8763
601.00 156.92 632.04 173.08 8 0.8559
214.84 202.80 247.31 253.38 7 0.8440
