x1 y1 x2 y2 cls conf
956.55 266.65 1012.04 332.46 4 0.9511
220.34 699.84 276.18 766.13 2 0.9501
260.89 165.82 317.01 231.89 4 0.9490
680.17 708.51 735.44 773.76 2 0.9489
955.48 428.08 1013.30 495.28 2 0.9482
504.61 167.56 561.06 233.47 4 0.9477
541.69 370.99 596.96 438.45 2 0.9462
458.60 376.02 513.15 441.39 2 0.9457
346.72 375.04 402.69 439.02 2 0.9445
844.39 554.18 901.83 620.23 2 0.9440
842.01 429.03 899.41 493.86 2 0.9418
345.20 708.29 401.84 772.53 2 0.9417
841.67 267.96 898.93 335.70 4 0.9390
957.60 552.82 1014.58 620.42 2 0.9389
100.75 706.58 159.17 772.83 2 0.9385
380.28 46.19 436.48 109.40 4 0.9380
586.45 707.59 643.17 772.44 2 0.9380
57.71 167.27 113.13 232.54 4 0.9373
956.47 145.99 1012.44 211.74 4 0.9332
842.75 145.67 898.52 213.38 4 0.9286
266.24 375.34 322.12 439.31 2 0.9270
458.85 709.39 514.12 774.05 2 0.9254
723.77 166.74 779.23 233.87 4 0.9215
900.88 74.38 951.03 88.78 1 0.8128
422.31 811.02 444.19 843.16 0 0.7476
