x1 y1 x2 y2 cls conf
455.68 132.92 525.62 195.56 16 0.9486
548.22 461.35 583.84 506.19 2 0.9460
455.69 270.67 525.10 335.28 16 0.9458
547.67 250.77 583.37 295.25 2 0.9441
371.27 460.43 405.46 504.51 2 0.9383
396.09 170.54 433.37 215.01 4 0.9343
224.03 198.29 259.19 242.13 4 0.9337
397.06 250.31 432.95 295.48 2 0.9313
396.78 51.80 433.26 96.36 4 0.9298
98.68 197.67 135.45 241.56 4 0.9268
548.09 50.31 584.06 96.45 4 0.9255
177.06 117.18 213.11 161.71 4 0.9252
548.27 171.04 583.76 215.10 4 0.9214
568.73 539.37 589.07 556.19 0 0.8858
391.24 538.13 411.86 554.59 0 0.8828
354.37 11.31 389.36 24.58 1 0.8656
